bldg,,,,,,,,
2350 DOLE STREET (FORMER KHET TV - PBS BUILDING),0ByZIs606S7oWRC1saXhvQ2ZQT28,,,,,,,
2570 DOLE STREET (FORMER NOAA),,,,,,,,
2570 DOLE STREET ANNEX 1,,,,,,,,
2570 DOLE STREET ANNEX 2,,,,,,,,
ADMINISTRATIVE SERVICES BUILDING 1,0ByZIs606S7oWNE1nUDdnR1oxeVk,,,,,,,
ADMINISTRATIVE SERVICES BUILDING 2,0ByZIs606S7oWS1J0Y3BKRWE1MGc,,,,,,,
AGRICULTURAL ENGINEERING INSTITUTE,,,,,,,,
AGRICULTURAL SCIENCE BUILDING,,,,,,,,
AGRICULTURAL SCIENCE MECHANICAL BUILDING,,,,,,,,
AIR FORCE ROTC 1,,,,,,,,
AIR FORCE ROTC 2,,,,,,,,
ANDREWS OUTDOOR THEATRE,,,,,,,,
ARCHITECTURE BUILDING,,,,,,,,
ARMY ROTC 1,,,,,,,,
ARMY ROTC BUILDING,,,,,,,,
ART BUILDING,,,,,,,,
BACHMAN ANNEX 10,,,,,,,,
BACHMAN ANNEX 11,,,,,,,,
BACHMAN ANNEX 12,,,,,,,,
BACHMAN ANNEX 13,,,,,,,,
BACHMAN ANNEX 2,,,,,,,,
BACHMAN ANNEX 6,,,,,,,,
BACHMAN ANNEX 9,,,,,,,,
BACHMAN HALL,,,,,,,,
BILGER ADDITION,,,,,,,,
BILGER HALL,,,,,,,,
BIOMEDICAL SCIENCES BUILDING,,,,,,,,
BIOMEDICAL SCIENCES MECHANICAL BUILDING,,,,,,,,
BIOPHYSICS LAB (PBRC) - WAREHOUSE,,,,,,,,
BUILDING 37,,,,,,,,
BUSINESS ADMINISTRATION BUILDING - SHIDLER,,,,,,,,
C-MORE (THE DANIEL K INOUYE CENTER FOR MICROBIAL OCEANOGRAPHY: RESEARCH AND EDUCATION),,,,,,,,
CAMPUS CENTER,,,,,,,,
CAMPUS SERVICES,,,,,,,,
CASTLE MEMORIAL ANNEX,,,,,,,,
CASTLE MEMORIAL CARETAKERS COTTAGE,,,,,,,,
CASTLE MEMORIAL HALL,,,,,,,,
CASTLE MEMORIAL SHED,,,,,,,,
